pipeline,metric,treated,is_real,tau_hat_d,se_d
corrected,POS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,3.9269,2.9353
corrected,POS,Angul|Cuttack|Dhenkanal|Kendrapara|Puri,False,3.9287,2.9347
corrected,POS,Angul|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,2.9064,3.303
corrected,POS,Angul|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,6.1224,2.1026
corrected,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,-2.5851,2.5516
corrected,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,-2.5833,2.5517
corrected,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Puri,False,-4.7967,1.9361
corrected,POS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,-3.6056,2.5297
corrected,POS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,-5.8189,1.6787
corrected,POS,Baleshwar|Bhadrak|Cuttack|Kendrapara|Puri,False,-5.8171,1.6794
corrected,POS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,-0.3896,2.7368
corrected,POS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,-2.6029,2.5465
corrected,POS,Baleshwar|Bhadrak|Dhenkanal|Kendrapara|Puri,False,-2.6011,2.5465
corrected,POS,Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara|Puri,True,-3.6233,2.5232
corrected,POS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,2.9349,3.3007
corrected,POS,Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,0.7216,3.5429
corrected,POS,Baleshwar|Cuttack|Dhenkanal|Kendrapara|Puri,False,0.7233,3.5427
corrected,POS,Baleshwar|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-0.2989,3.6963
