cyclone,district,lon,lat,source
Yaas,Bhadrak,86.89165689737841,20.871142900883523,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.66177801617222,21.02340734154178,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.78278108494312,20.56876997624889,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.60033325073844,20.8897380272648,Sentinel-1 SAR change detection (Module 08)
Yaas,Baleshwar,87.09620328757242,21.541106439779863,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.95013722237458,20.75849416425493,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.56368198714637,20.275829362097515,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.82563072399562,20.580897232584505,Sentinel-1 SAR change detection (Module 08)
Yaas,Baleshwar,87.30991249366446,21.619529364083498,Sentinel-1 SAR change detection (Module 08)
Yaas,Puri,86.31413000121796,19.966988567417225,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.5736532868001,20.243220517283977,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.41465148151094,20.172343441366948,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.72753469496976,20.860632612059323,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.66932386455882,21.04038550041164,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.53188162608853,20.230823766363127,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.49954227586024,20.36206762937299,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.79948974922775,20.78463513902281,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.65827458656415,20.543167990651487,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.73750599462349,20.86359705249692,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.62620473092109,20.84338495860423,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.80002873839821,20.56230210620323,Sentinel-1 SAR change detection (Module 08)
Yaas,Baleshwar,87.1034796413738,21.56805589830345,Sentinel-1 SAR change detection (Module 08)
Yaas,Cuttack,85.85167729295324,20.54774939860049,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.6690543699736,20.555025752401864,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.62350978506873,20.84796636655324,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.87413974933807,20.93905553636296,Sentinel-1 SAR change detection (Module 08)
Yaas,Baleshwar,86.67660021836019,21.20504669199075,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.69438686098576,20.562571600788463,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.95121520071552,20.82263387554107,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.73588902711208,21.10829813589108,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.59871628322703,20.897822864821872,Sentinel-1 SAR change detection (Module 08)
Yaas,Jagatsinghpur,86.41680743819282,20.16318062546893,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.83102061570034,21.067604453520463,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.63375057930769,20.761997593863,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.57338379221486,20.916687485788383,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.9223792800953,20.71780048188432,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.80703559761434,20.83098820768338,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.69384787181528,20.846079904456587,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.5984467886418,20.92342485041928,Sentinel-1 SAR change detection (Module 08)
Yaas,Bhadrak,86.64345238437618,20.867100482104984,Sentinel-1 SAR change detection (Module 08)
Yaas,Kendrapara,86.59575184278944,20.76846546390866,Sentinel-1 SAR change detection (Module 08)
